AKT2004;Administrasjon
FSP6200;Sørsamisk I, muntlig
FSP6201;Sørsamisk II, 1. år
FSP6202;Sørsamisk II
FSP6203;Sørsamisk II, muntlig
FSP6204;Sørsamisk I+II, 1. år
FSP6205;Sørsamisk I+II, 2. år
FSP6206;Sørsamisk I+II
FSP6207;Sørsamisk I+II, muntlig
FSP6208;Russisk I, 1. år
FSP6209;Russisk I
FSP6210;Russisk I, muntlig
FSP6211;Russisk II, 1. år
FSP6212;Russisk II
FSP6213;Russisk II, muntlig
FSP6214;Russisk I+II, 1. år
FSP6215;Russisk I+II, 2. år
FSP6216;Russisk I+II
FSP6217;Russisk I+II, muntlig
FSP6218;Spansk I, 1. år
FSP6219;Spansk I
FSP6220;Spansk I, muntlig
FSP6221;Spansk II, 1. år
FSP6222;Spansk II
FSP6223;Spansk II, muntlig
FSP6224;Spansk I+II, 1. år
FSP6225;Spansk I+II, 2. år
FSP6226;Spansk I+II
FSP6227;Spansk I+II, muntlig
FSP6228;Tegnspråk I, 1. år
FSP6229;Tegnspråk I
FSP6230;Tegnspråk I, muntlig
FSP6231;Tegnspråk II, 1. år
FSP6232;Tegnspråk II
FSP6233;Tegnspråk II, muntlig
FSP6234;Tegnspråk I+II, 1. år
FSP6235;Tegnspråk I+II, 2. år
FSP6236;Tegnspråk I+II
FSP6237;Tegnspråk I+II, muntlig
FSP6238;Tysk I, 1. år
FSP6239;Tysk I
FSP6240;Tysk I, muntlig
FSP6241;Tysk II, 1. år
FSP6242;Tysk II
FSP6243;Tysk II, muntlig
FSP6244;Tysk I+II, 1. år
FSP6245;Tysk I+II, 2. år
FSP6246;Tysk I+II
FSP6247;Tysk I+II, muntlig
FSP6248;Albansk I, 1. år
FSP6249;Albansk I
FSP6250;Albansk I, muntlig
FSP6251;Albansk II, 1. år
FSP6252;Albansk II
FSP6253;Albansk II, muntlig
FSP6258;Arabisk I, 1. år
FSP6259;Arabisk I
FSP6260;Arabisk I, muntlig
FSP6261;Arabisk II, 1. år
FSP6262;Arabisk II
FSP6263;Arabisk II, muntlig
FSP6264;Arabisk I+II, 1. år
FSP6265;Arabisk I+II, 2. år
FSP6268;Bosnisk I, 1. år
FSP6269;Bosnisk I
FSP6270;Bosnisk I, muntlig
FSP6271;Bosnisk II, 1. år
FSP6272;Bosnisk II
FSP6273;Bosnisk II, muntlig
FSP6278;Dari I, 1. år
FSP6279;Dari I
FSP6280;Dari I, muntlig
FSP6281;Dari II, 1. år
FSP6282;Dari II
FSP6283;Dari II, muntlig
FSP6288;Kinesisk I, 1. år
